arabic,german,root,frequency_rank,transliteration,masdar,masdar_transliteration,masdar_german
غَرِقَ,ertrinken / untergehen,غ-ر-ق,1006,ġariqa,غَرَقٌ,ġaraq,das Ertrinken
أَدَّى,(aus-)führen / leisten,أ-د-ي,1007,ʾaddā,أَدَاءٌ,ʾadāʾ,die Ausführung/die Leistung
أَعَدَّ,vorbereiten,ع-د-د,1008,ʾaʿadda,إِعْدَادٌ,iʿdād,die Vorbereitung
سَمَحَ,erlauben,س-م-ح,1009,samaḥa,سَمَاحٌ,samāḥ,die Erlaubnis
اِخْتَلَفَ,sich unterscheiden,خ-ل-ف,1010,iḫtalafa,اِخْتِلَافٌ,iḫtilāf,der Unterschied
صَرَفَ,ausgeben (Geld),ص-ر-ف,1011,ṣarafa,صَرْفٌ,ṣarf,das Ausgeben (von Geld)
شَاهَدَ,zuschauen / ansehen,ش-ه-د,1012,šāhada,مُشَاهَدَةٌ,mušāhada,das Zuschauen/das Ansehen
اِعْتَرَفَ,gestehen / zugeben,ع-ر-ف,1013,iʿtarafa,اِعْتِرَافٌ,iʿtirāf,das Geständnis
اِبْتَدَأَ,beginnen,ب-د-أ,1014,ibtadaʾa,اِبْتِدَاءٌ,ibtidāʾ,der Anfang/das Beginnen
أَعْلَنَ,ankündigen,ع-ل-ن,1015,ʾaʿlana,إِعْلَانٌ,iʿlān,die Ankündigung
اِقْتَرَحَ,vorschlagen,ق-ر-ح,1016,iqtaraḥa,اِقْتِرَاحٌ,iqtirāḥ,der Vorschlag
شَارَكَ,teilnehmen,ش-ر-ك,1017,šāraka,مُشَارَكَةٌ,mušāraka,die Teilnahme
أَضَافَ,hinzufügen,ض-ي-ف,1018,ʾaḍāfa,إِضَافَةٌ,iḍāfa,das Hinzufügen
اِسْتَفَادَ,profitieren / Nutzen ziehen,ف-و-د,1019,istafāda,اِسْتِفَادَةٌ,istifāda,der Nutzen/das Profitieren
هَبَطَ,hinabsteigen,ه-ب-ط,1020,habaṭa,هُبُوطٌ,hubūṭ,das Hinabsteigen
يَبِسَ,trocknen / austrocknen,ي-ب-س,1021,yabisa,يُبْسٌ,yubs,das Trocknen/die Trockenheit
اِمْتَلَأَ,sich füllen,م-ل-أ,1022,imtalaʾa,اِمْتِلَاءٌ,imtilāʾ,das Sich-Füllen
اِسْتَحَقَّ,verdienen / würdig sein,ح-ق-ق,1023,istaḥaqqa,اِسْتِحْقَاقٌ,istiḥqāq,das Verdienen/Würdigsein
اِنْقَطَعَ,abreißen / enden,ق-ط-ع,1024,inqaṭaʿa,اِنْقِطَاعٌ,inqiṭāʿ,das Abreißen/das Ende
تَغَيَّرَ,sich ändern,غ-ي-ر,1025,taġayyara,تَغَيُّرٌ,taġayyur,die Veränderung
رَفَضَ,ablehnen,ر-ف-ض,1026,rafaḍa,رَفْضٌ,rafḍ,die Ablehnung
اِنْكَسَرَ,zerbrechen,ك-س-ر,1027,inkasara,اِنْكِسَارٌ,inkisār,das Zerbrechen
اِعْتَنَى,sich kümmern,ع-ن-ي,1028,iʿtanā,اِعْتِنَاءٌ,iʿtināʾ,die Fürsorge/das Sich-Kümmern
هَدَّدَ,drohen,ه-د-د,1029,haddada,تَهْدِيدٌ,tahdīd,die Drohung
أَنْجَزَ,erledigen / vollbringen,ن-ج-ز,1030,ʾanǧaza,إِنْجَازٌ,inǧāz,die Erledigung/das Vollbringen
اِسْتَكْمَلَ,ergänzen / vervollständigen,ك-م-ل,1031,istakmala,اِسْتِكْمَالٌ,istikmāl,die Ergänzung/Vervollständigung
أَثَّرَ,beeinflussen,أ-ث-ر,1032,ʾaṯṯara,تَأْثِيرٌ,taʾṯīr,der Einfluss/die Beeinflussung
عَالَجَ,behandeln,ع-ل-ج,1033,ʿālaǧa,عِلَاجٌ,ʿilāǧ,die Behandlung
اِمْتَحَنَ,prüfen,م-ح-ن,1034,imtaḥana,اِمْتِحَانٌ,imtiḥān,die Prüfung
أَوْضَحَ,klarstellen / erklären,و-ض-ح,1035,ʾawḍaḥa,إِيضَاحٌ,īḍāḥ,die Klarstellung/die Erklärung
مَصِيرٌ,Schicksal,ص-ي-ر,1036,maṣīr,,,
ثَرْوَةٌ,Reichtum,ث-ر-و,1037,ṯarwa,,,
وِظِيفَةٌ,Arbeitsstelle / Beruf,و-ظ-ف,1038,waẓīfa,,,
حَدُودٌ,Grenzen,ح-د-د,1039,ḥudūd,,,
مُسَابَقَةٌ,Wettbewerb,س-ب-ق,1040,musābaqa,,,
دَلِيلٌ,Führer / Beweis,د-ل-ل,1041,dalīl,,,
سَفِيرٌ,Botschafter,س-ف-ر,1042,safīr,,,
رَأْيٌ,Meinung,ر-أ-ي,1043,raʾy,,,
شُرْطَةٌ,Polizei,ش-ر-ط,1044,šurṭa,,,
مُوَظَّفٌ,Angestellter,و-ظ-ف,1045,muwaẓẓaf,,,
طَبِيعَةٌ,Natur,ط-ب-ع,1046,ṭabīʿa,,,
حَيَوَانٌ,Tier,ح-ي-و,1047,ḥayawān,,,
نَبَاتٌ,Pflanze,ن-ب-ت,1048,nabāt,,,
مُسْتَشْفًى,Krankenhaus,ش-ف-ي,1049,mustašfā,,,
وَسِيلَةٌ,Mittel / Weg,و-س-ل,1050,wasīla,,,
طَرِيقَةٌ,Methode / Art und Weise,ط-ر-ق,1051,ṭarīqa,,,
عِلَاقَةٌ,Beziehung,ع-ل-ق,1052,ʿilāqa,,,
صَدَاقَةٌ,Freundschaft,ص-د-ق,1053,ṣadāqa,,,
عَدَاوَةٌ,Feindschaft,ع-د-و,1054,ʿadāwa,,,
مُنْتَجٌ,Produkt,ن-ت-ج,1055,muntaǧ,,,
هَاتِفٌ,Telefon,ه-ت-ف,1056,hātif,,,
اِخْتِبَارٌ,Test / Prüfung,خ-ب-ر,1057,iḫtibār,,,
نَصِيحَةٌ,Ratschlag,ن-ص-ح,1058,naṣīḥa,,,
صَحِيفَةٌ,Zeitung,ص-ح-ف,1059,ṣaḥīfa,,,
مَجْلِسٌ,Versammlung / Rat,ج-ل-س,1060,maǧlis,,,
اِجْتِمَاعٌ,Versammlung / Treffen,ج-م-ع,1061,iǧtimāʿ,,,
مُوَاطِنٌ,Bürger,و-ط-ن,1062,muwāṭin,,,
دَعْوَةٌ,Einladung,د-ع-و,1063,daʿwa,,,
عَشَاءٌ,Abendessen,ع-ش-و,1064,ʿašāʾ,,,
فُطُورٌ,Frühstück,ف-ط-ر,1065,fuṭūr,,,
حَفْلَةٌ,Feier / Party,ح-ف-ل,1066,ḥafla,,,
عُرْسٌ,Hochzeit,ع-ر-س,1067,ʿurs,,,
سِكِّينٌ,Messer,س-ك-ن,1068,sikkīn,,,
شَوْكَةٌ,Gabel,ش-و-ك,1069,šawka,,,
طَبَقٌ,Teller,ط-ب-ق,1070,ṭabaq,,,
مِرْوَحَةٌ,Fächer / Ventilator,ر-و-ح,1071,mirwaḥa,,,
وَجْبَةٌ,Mahlzeit,و-ج-ب,1072,waǧba,,,
فِنْجَانٌ,Tasse,ف-ن-ج-ن,1073,finǧān,,,
حَلِيبٌ,Milch,ح-ل-ب,1074,ḥalīb,,,
عَصِيرٌ,Saft,ع-ص-ر,1075,ʿaṣīr,,,
مَفْهُومٌ,Begriff,ف-ه-م,1076,mafhūm,,,
مَعْلُومَةٌ,Information,ع-ل-م,1077,maʿlūma,,,
خِبْرَةٌ,Erfahrung,خ-ب-ر,1078,ḫibra,,,
قَاعِدَةٌ,Basis / Regel,ق-ع-د,1079,qāʿida,,,
مَبْدَأٌ,Prinzip / Grundsatz,ب-د-أ,1080,mabdaʾ,,,
نَظَرِيَّةٌ,Theorie,ن-ظ-ر,1081,naẓariyya,,,
تَجْرِبَةٌ,Versuch / Erfahrung,ج-ر-ب,1082,taǧriba,,,
دَرَجَةٌ,Stufe / Grad,د-ر-ج,1083,daraja,,,
مَرْحَلَةٌ,Phase / Etappe,ر-ح-ل,1084,marḥala,,,
وِحْدَةٌ,Einheit,و-ح-د,1085,wiḥda,,,
نَوْعٌ,Art / Sorte,ن-و-ع,1086,nawʿ,,,
مِقْدَارٌ,Menge / Betrag,ق-د-ر,1087,miqdār,,,
عَدَدٌ,Zahl,ع-د-د,1088,ʿadad,,,
مَصْدَرٌ,Quelle,ص-د-ر,1089,maṣdar,,,
قِيمَةٌ,Wert,ق-ي-م,1090,qīma,,,
سَقْفٌ,Decke / Dach,س-ق-ف,1091,saqf,,,
طَابَقٌ,Stockwerk,ط-ب-ق,1092,ṭābaq,,,
اِتِّجَاهٌ,Richtung,و-ج-ه,1093,ittiǧāh,,,
اِرْتِفَاعٌ,Höhe,ر-ف-ع,1094,irtifāʿ,,,
أُفُقٌ,Horizont,أ-ف-ق,1095,ʾufuq,,,
فَضَاءٌ,Raum / Weltraum,ف-ض-و,1096,faḍāʾ,,,
مَعِدَةٌ,Magen,م-ع-د,1097,maʿida,,,
قُوَّةٌ,Kraft,ق-و-ي,1098,quwwa,,,
أَلَمٌ,Schmerz,أ-ل-م,1099,ʾalam,,,
نَوْمٌ,Schlaf,ن-و-م,1100,nawm,,,
وِزَارَةٌ,Ministerium,و-ز-ر,1101,wizāra,,,
شَأْنٌ,Angelegenheit,ش-أ-ن,1102,šaʾn,,,
صِفَةٌ,Eigenschaft,و-ص-ف,1103,ṣifa,,,
قَاعَةٌ,Halle / Saal,ق-و-ع,1104,qāʿa,,,
دَلْوٌ,Eimer,د-ل-و,1105,dalw,,,
مِكْنَسَةٌ,Besen,ك-ن-س,1106,miknasa,,,
بَرَدٌ,Hagel,ب-ر-د,1107,barad,,,
فَيَضَانٌ,Überschwemmung,ف-ي-ض,1108,fayaḍān,,,
زَلْزَالٌ,Erdbeben,ز-ل-ز-ل,1109,zalzāl,,,
تَاجِرٌ,Kaufmann,ت-ج-ر,1110,tāǧir,,,
جَزَّارٌ,Metzger,ج-ز-ر,1111,ǧazzār,,,
جِيرَانٌ,Nachbarn,ج-و-ر,1112,ǧīrān,,,
رَفِيقٌ,Gefährte / Begleiter,ر-ف-ق,1113,rafīq,,,
زَمِيلٌ,Kollege,ز-م-ل,1114,zamīl,,,
شَرِيكٌ,Partner,ش-ر-ك,1115,šarīk,,,
سَائِحٌ,Tourist,س-ي-ح,1116,sāʾiḥ,,,
مُسَافِرٌ,Reisender,س-ف-ر,1117,musāfir,,,
جَوَازٌ,Reisepass,ج-و-ز,1118,ǧawāz,,,
مِينَاءٌ,Hafen,م-ن-أ,1119,mīnāʾ,,,
نِصْفٌ,Hälfte,ن-ص-ف,1120,niṣf,,,
ثُلُثٌ,Drittel,ث-ل-ث,1121,ṯuluṯ,,,
مُفِيدٌ,nützlich,ف-و-د,1122,mufīd,,,
ضَرُورِيٌّ,notwendig,ض-ر-ر,1123,ḍarūrī,,,
مُنَاسِبٌ,passend / geeignet,ن-س-ب,1124,munāsib,,,
حَدِيثٌ,neu (modern),ح-د-ث,1125,ḥadīṯ,,,
مُمْتِعٌ,unterhaltsam,م-ت-ع,1126,mumtiʿ,,,
رَائِعٌ,wunderbar,ر-و-ع,1127,rāʾiʿ,,,
قَادِرٌ,fähig,ق-د-ر,1128,qādir,,,
خَاطِئٌ,falsch,خ-ط-أ,1129,ḫāṭiʾ,,,
مُرْتَفِعٌ,hoch / erhöht,ر-ف-ع,1130,murtafiʿ,,,
كَافٍ,ausreichend,ك-ف-ي,1131,kāfin,,,
نَاقِصٌ,unvollständig,ن-ق-ص,1132,nāqiṣ,,,
مُتَأَخِّرٌ,verspätet,أ-خ-ر,1133,mutaʾaḫḫir,,,
غَامِضٌ,unklar / geheimnisvoll,غ-م-ض,1134,ġāmiḍ,,,
وَحِيدٌ,allein / einzig,و-ح-د,1135,waḥīd,,,
مُحَدَّدٌ,bestimmt / konkret,ح-د-د,1136,muḥaddad,,,
عُمُومِيٌّ,allgemein,ع-م-م,1137,ʿumūmī,,,
خَارِجِيٌّ,äußerlich / ausländisch,خ-ر-ج,1138,ḫāriǧī,,,
رَسْمِيٌّ,offiziell,ر-س-م,1139,rasmī,,,
كَسْلَانٌ,faul / träge,ك-س-ل,1140,kaslān,,,
ثَمِينٌ,wertvoll,ث-م-ن,1141,ṯamīn,,,
مُسْتَحِيلٌ,unmöglich,ح-و-ل,1142,mustaḥīl,,,
نِهَائِيٌّ,endgültig,ن-ه-ي,1143,nihāʾī,,,
آخِرٌ,letzter,أ-خ-ر,1144,ʾāḫir,,,
أَوَّلٌ,erster,أ-و-ل,1145,ʾawwal,,,
دَائِمًا,immer,د-و-م,1146,dāʾiman,,,
أَحْيَانًا,manchmal,ح-ي-ن,1147,ʾaḥyānan,,,
نَادِرًا,selten,ن-د-ر,1148,nādiran,,,
خَلْفَ,hinter,خ-ل-ف,1149,ḫalfa,,,
وَرَاءَ,hinter,و-ر-أ,1150,warāʾa,,,
اِسْتَفْهَمَ,sich erkundigen,ف-ه-م,1151,istafhama,اِسْتِفْهَامٌ,istifhām,die Erkundigung/die Nachfrage
اِسْتَدْعَى,herbeirufen / einberufen,د-ع-و,1152,istadʿā,اِسْتِدْعَاءٌ,istidʿāʾ,die Einberufung/das Herbeirufen
اِبْتَعَدَ,sich entfernen,ب-ع-د,1153,ibtaʿada,اِبْتِعَادٌ,ibtiʿād,die Entfernung
اِقْتَصَدَ,sparsam sein / wirtschaften,ق-ص-د,1154,iqtaṣada,اِقْتِصَادٌ,iqtiṣād,die Sparsamkeit/das Wirtschaften
اِنْعَقَدَ,stattfinden (Tagung),ع-ق-د,1155,inʿaqada,اِنْعِقَادٌ,inʿiqād,das Stattfinden
اِشْتَهَرَ,bekannt werden,ش-ه-ر,1156,ištahara,اِشْتِهَارٌ,ištihār,das Bekanntwerden
اِمْتَنَعَ,sich weigern / unterlassen,م-ن-ع,1157,imtanaʿa,اِمْتِنَاعٌ,imtināʿ,die Weigerung
اِحْتَمَلَ,aushalten / ertragen,ح-م-ل,1158,iḥtamala,اِحْتِمَالٌ,iḥtimāl,das Aushalten/die Möglichkeit
اِسْتَمْتَعَ,genießen,م-ت-ع,1159,istamtaʿa,اِسْتِمْتَاعٌ,istimtāʿ,der Genuss
تَعَلَّقَ,an etw. hängen / anhängen,ع-ل-ق,1160,taʿallaqa,تَعَلُّقٌ,taʿalluq,das Anhängen/die Verbundenheit
اِنْتَصَرَ,siegen / obsiegen,ن-ص-ر,1161,intaṣara,اِنْتِصَارٌ,intiṣār,der Sieg
اِسْتَوْعَبَ,umfassen / aufnehmen,و-ع-ب,1162,istawʿaba,اِسْتِيعَابٌ,istīʿāb,das Umfassen/die Aufnahme
اِسْتَعَانَ,um Hilfe bitten,ع-و-ن,1163,istaʿāna,اِسْتِعَانَةٌ,istiʿāna,die Bitte um Hilfe
اِسْتَوْلَى,sich bemächtigen,و-ل-ي,1164,istawlā,اِسْتِيلَاءٌ,istīlāʾ,die Bemächtigung
اِنْتَقَمَ,sich rächen,ن-ق-م,1165,intaqama,اِنْتِقَامٌ,intiqām,die Rache
اِنْحَنَى,sich beugen / krümmen,ح-ن-ي,1166,inḥanā,اِنْحِنَاءٌ,inḥināʾ,die Beugung/das Sich-Beugen
اِطْمَأَنَّ,sich beruhigen / vertrauen,ط-م-ن,1167,iṭmaʾanna,اِطْمِئْنَانٌ,iṭmiʾnān,die Ruhe/die Beruhigung
اِعْتَادَ,sich gewöhnen,ع-و-د,1168,iʿtāda,اِعْتِيَادٌ,iʿtiyād,die Gewöhnung
تَخَيَّلَ,sich vorstellen,خ-ي-ل,1169,taḫayyala,تَخَيُّلٌ,taḫayyul,die Vorstellung/die Einbildung
تَفَادَى,vermeiden / ausweichen,ف-د-ي,1170,tafādā,تَفَادٍ,tafādin,die Vermeidung/das Ausweichen
تَجَمَّعَ,sich versammeln,ج-م-ع,1171,taǧammaʿa,تَجَمُّعٌ,taǧammuʿ,die Versammlung
تَوَزَّعَ,sich verteilen,و-ز-ع,1172,tawazzaʿa,تَوَزُّعٌ,tawazzuʿ,die Verteilung
اِمْتَلَكَ,besitzen,م-ل-ك,1173,imtalaka,اِمْتِلَاكٌ,imtilāk,der Besitz
اِعْتَقَدَ,überzeugt sein / glauben,ع-ق-د,1174,iʿtaqada,اِعْتِقَادٌ,iʿtiqād,die Überzeugung
اِنْظَمَّ,sich anschließen,ن-ظ-م,1175,inẓamma,اِنْضِمَامٌ,inḍimām,der Anschluss
اِحْتَفَظَ,aufbewahren,ح-ف-ظ,1176,iḥtafaẓa,اِحْتِفَاظٌ,iḥtifāẓ,die Aufbewahrung
اِنْزَعَجَ,sich ärgern,ز-ع-ج,1177,inzaʿaǧa,اِنْزِعَاجٌ,inziʿāǧ,die Verärgerung
اِسْتَرْجَعَ,zurückerhalten,ر-ج-ع,1178,istarǧaʿa,اِسْتِرْجَاعٌ,istirǧāʿ,die Rückerlangung/das Zurückerhalten
اِعْتَزَلَ,sich zurückziehen,ع-ز-ل,1179,iʿtazala,اِعْتِزَالٌ,iʿtizāl,der Rückzug
اِسْتَهَانَ,gering schätzen,ه-و-ن,1180,istahāna,اِسْتِهَانَةٌ,istihāna,die Geringschätzung
اِحْتَاطَ,Vorsicht üben,ح-و-ط,1181,iḥtāṭa,اِحْتِيَاطٌ,iḥtiyāṭ,die Vorsicht
اِمْتَدَّ,sich ausdehnen,م-د-د,1182,imtadda,اِمْتِدَادٌ,imitdād,die Ausdehnung
اِنْقَلَبَ,umkippen,ق-ل-ب,1183,inqalaba,اِنْقِلَابٌ,inqilāb,der Umsturz/das Umkippen
اِحْتَرَقَ,verbrennen,ح-ر-ق,1184,iḥtaraqa,اِحْتِرَاقٌ,iḥtirāq,das Verbrennen
اِغْتَسَلَ,sich waschen,غ-س-ل,1185,iġtasala,اِغْتِسَالٌ,iġtisāl,das Sich-Waschen
تَعَاوَنَ,zusammenarbeiten,ع-و-ن,1186,taʿāwana,تَعَاوُنٌ,taʿāwun,die Zusammenarbeit
تَرَاجَعَ,zurücktreten / abnehmen,ر-ج-ع,1187,tarāǧaʿa,تَرَاجُعٌ,tarāǧuʿ,der Rücktritt/das Zurückgehen
تَصَرَّفَ,handeln / verhalten,ص-ر-ف,1188,taṣarrafa,تَصَرُّفٌ,taṣarruf,das Handeln
اِنْطَبَعَ,eingeprägt werden,ط-ب-ع,1189,inṭabaʿa,اِنْطِبَاعٌ,inṭibāʿ,die Einprägung
اِسْتَقْصَى,untersuchen,ق-ص-و,1190,istaqṣā,اِسْتِقْصَاءٌ,istiqṣāʾ,die Untersuchung
اِحْتَكَمَ,schlichten / richten,ح-ك-م,1191,iḥtakama,اِحْتِكَامٌ,iḥtikām,die Schlichtung
اِنْضَمَّ,sich anschließen,ض-م-م,1192,inḍamma,اِنْضِمَامٌ,inḍimām,der Anschluss
اِسْتَغَلَّ,ausnutzen,غ-ل-ل,1193,istaġalla,اِسْتِغْلَالٌ,istiġlāl,die Ausnutzung/der Ertrag
اِنْبَهَرَ,staunen,ب-ه-ر,1194,inbahara,اِنْبِهَارٌ,inbihār,die Bewunderung
اِعْتَزَّ,stark sein,ع-ز-ز,1195,iʿtazza,اِعْتِزَازٌ,iʿtizāz,der Stolz
اِسْتَرَخَّ,entspannen,ر-خ-و,1196,istaraḫḫa,اِسْتِرْخَاءٌ,istirḫāʾ,die Erschlaffung
اِنْفَرَدَ,allein sein,ف-ر-د,1197,infarada,اِنْفِرَادٌ,infirād,das Alleinsein
اِسْتَفَاقَ,zu sich kommen,ف-ي-ق,1198,istafāqa,اِسْتِيقَاظٌ,istīqāẓ,das Erwachen
اِعْتَزَمَ,fest beabsichtigen,ع-ز-م,1199,iʿtazama,اِعْتِزَامٌ,iʿtizām,die Absicht
اِسْتَحْسَنَ,gutheißen,ح-س-ن,1200,istaḥsana,اِسْتِحْسَانٌ,istiḥsān,das Gutheißen
اِنْفَتَحَ,sich öffnen,ف-ت-ح,1201,inftaḥa,اِنْفِتَاحٌ,infitāḥ,das Sich-Öffnen
اِعْتَدَّ,zählen / berücksichtigen,ع-د-د,1202,iʿtadda,اِعْتِدَادٌ,iʿtidād,die Zählung/die Beachtung
اِسْتَغْرَبَ,sich wundern,غ-ر-ب,1203,istaġraba,اِسْتِغْرَابٌ,istiġrāb,die Verwunderung
اِعْتَقَلَ,verhaften,ع-ق-ل,1204,iʿtaqala,اِعْتِقَالٌ,iʿtiqāl,die Verhaftung
اِنْصَرَفَ,weggehen,ص-ر-ف,1205,inṣarafa,اِنْصِرَافٌ,inṣirāf,das Sich-Abwenden
اِعْتَرَضَ,entgegentreten,ع-ر-ض,1206,iʿtaraḍa,اِعْتِرَاضٌ,iʿtirāḍ,der Einwand
اِسْتَغْرَقَ,sich vertiefen / brauchen,غ-ر-ق,1207,istaġraqa,اِسْتِغْرَاقٌ,istiġrāq,die Vertiefung
سُكَّانٌ,Bevölkerung / Bewohner,س-ك-ن,1208,sukkān,,,
وَاقِعٌ,Wirklichkeit,و-ق-ع,1209,wāqiʿ,,,
مَلِكَةٌ,Königin,م-ل-ك,1210,malika,,,
أَمِيرٌ,Prinz / Befehlshaber,أ-م-ر,1211,ʾamīr,,,
مَعْرَكَةٌ,Schlacht,ع-ر-ك,1212,maʿraka,,,
هَزِيمَةٌ,Niederlage,ه-ز-م,1213,hazīma,,,
خَطَرٌ,Gefahr,خ-ط-ر,1214,ḫaṭar,,,
شَرِكَةٌ,Firma,ش-ر-ك,1215,šarika,,,
مَتَاعٌ,Ware / Hab und Gut,م-ت-ع,1216,matāʿ,,,
بَضَائِعُ,Waren,ب-ض-ع,1217,baḍāʾiʿ,,,
خَسَارَةٌ,Verlust,خ-س-ر,1218,ḫasāra,,,
إِيجَارٌ,Miete,أ-ج-ر,1219,ʾīǧār,,,
بَضَاعَةٌ,Ware,ب-ض-ع,1220,baḍāʿa,,,
مِيزَانِيَّةٌ,Haushalt (Etat),و-ز-ن,1221,mīzāniyya,,,
ضَرِيبَةٌ,Steuer,ض-ر-ب,1222,ḍarība,,,
مَحْفَظَةٌ,Brieftasche,ح-ف-ظ,1223,maḥfaẓa,,,
سُبْحَةٌ,Perlenkette,س-ب-ح,1224,subḥa,,,
مَجَالٌ,Feld / Bereich,ج-و-ل,1225,maǧāl,,,
نِظَامٌ,System / Ordnung,ن-ظ-م,1226,niẓām,,,
مُؤَسَّسَةٌ,Institution / Stiftung,أ-س-س,1227,muʾassasa,,,
هَيْئَةٌ,Gremium / Behörde,ه-ي-أ,1228,hayʾa,,,
سُفَارَةٌ,Botschaft,س-ف-ر,1229,sufāra,,,
جَمْعِيَّةٌ,Verein,ج-م-ع,1230,ǧamʿiyya,,,
نِقَابَةٌ,Gewerkschaft,ن-ق-ب,1231,niqāba,,,
حِزْبٌ,Partei,ح-ز-ب,1232,ḥizb,,,
اِنْتِخَابَاتٌ,Wahlen,ن-خ-ب,1233,intiḫābāt,,,
تَصْوِيتٌ,Abstimmung,ص-و-ت,1234,taṣwīt,,,
مُرَشَّحٌ,Kandidat,ر-ش-ح,1235,muraššaḥ,,,
سِيَاسَةٌ,Politik,س-و-س,1236,siyāsa,,,
قَضِيَّةٌ,Fall / Sache / Prozess,ق-ض-ي,1237,qaḍiyya,,,
مُحَافَظَةٌ,Provinz / Gouvernement,ح-ف-ظ,1238,muḥāfaẓa,,,
جِوَارٌ,Nachbarschaft,ج-و-ر,1239,ǧiwār,,,
حَارَةٌ,Viertel (Stadt),ح-و-ر,1240,ḥāra,,,
فَتْرَةٌ,Zeitraum,ف-ت-ر,1241,fatra,,,
مُدَّةٌ,Dauer / Zeitraum,م-د-د,1242,midda,,,
مِصْدَاقٌ,Bestätigung,ص-د-ق,1243,miṣdāq,,,
دَوْرٌ,Rolle,د-و-ر,1244,dawr,,,
مَسْؤُولِيَّةٌ,Verantwortung,س-أ-ل,1245,masʾūliyya,,,
إِمْكَانٌ,Möglichkeit,م-ك-ن,1246,ʾimkān,,,
قُدْرَةٌ,Fähigkeit / Vermögen,ق-د-ر,1247,qudra,,,
مَقْدِرَةٌ,Vermögen / Leistungsfähigkeit,ق-د-ر,1248,maqdira,,,
مَوَاهِبُ,Begabungen,و-ه-ب,1249,mawāhib,,,
مَوْهِبَةٌ,Begabung,و-ه-ب,1250,mawhiba,,,
مَهَارَةٌ,Fertigkeit,م-ه-ر,1251,mahāra,,,
مَعْرِفَةٌ,Wissen,ع-ر-ف,1252,maʿrifa,,,
مُنَاقَشَةٌ,Diskussion,ن-ق-ش,1253,munāqaša,,,
حِوَارٌ,Dialog,ح-و-ر,1254,ḥiwār,,,
قَرَارٌ,Entscheidung / Beschluss,ق-ر-ر,1255,qarār,,,
اِقْتِرَاحٌ,Vorschlag,ق-ر-ح,1256,iqtirāḥ,,,
مَقْتَرَحٌ,Vorlage,ق-ر-ح,1257,muqtaraḥ,,,
تَنْفِيذٌ,Durchführung,ن-ف-ذ,1258,tanfīḏ,,,
تَنْظِيمٌ,Organisation,ن-ظ-م,1259,tanẓīm,,,
اِدَارَةٌ,Verwaltung / Leitung,د-و-ر,1260,idāra,,,
مُدِيرٌ,Direktor,د-و-ر,1261,mudīr,,,
رِئَاسَةٌ,Vorsitz / Leitung,ر-أ-س,1262,riʾāsa,,,
مَنْصِبٌ,Amt / Posten,ن-ص-ب,1263,manṣib,,,
نُقْطَةٌ,Punkt,ن-ق-ط,1264,nuqṭa,,,
أَسَاسٌ,Grundlage,أ-س-س,1265,ʾasās,,,
نِسْبَةٌ,Verhältnis / Prozentsatz,ن-س-ب,1266,nisba,,,
تَطْوِيرٌ,Entwicklung / Ausbau,ط-و-ر,1267,taṭwīr,,,
تَحْسِينٌ,Verbesserung,ح-س-ن,1268,taḥsīn,,,
ضَرُورَةٌ,Notwendigkeit,ض-ر-ر,1269,ḍarūra,,,
مَصْلَحَةٌ,Nutzen / Interesse,ص-ل-ح,1270,maṣlaḥa,,,
مَقْصِدٌ,Ziel / Absicht,ق-ص-د,1271,maqṣid,,,
رَغْبَةٌ,Wunsch / Begehren,ر-غ-ب,1272,raġba,,,
حَاجَةٌ,Bedürfnis,ح-و-ج,1273,ḥāǧa,,,
مَنْفَعَةٌ,Nutzen / Vorteil,ن-ف-ع,1274,manfaʿa,,,
مَضَرَّةٌ,Schaden / Nachteil,ض-ر-ر,1275,maḍarra,,,
ظَرْفٌ,Umstand / Bedingung,ظ-ر-ف,1276,ẓarf,,,
مِيثَاقٌ,Vertrag / Pakt,و-ث-ق,1277,mīṯāq,,,
قَرِينٌ,Gefährte / Genosse,ق-ر-ن,1278,qarīn,,,
نَخْبَةٌ,Elite,ن-خ-ب,1279,naḫba,,,
طَبَقَةٌ,Schicht / Klasse,ط-ب-ق,1280,ṭabaqa,,,
مَخْزُونٌ,Vorrat / Bestand,خ-ز-ن,1281,maḫzūn,,,
مُخَزَّنٌ,Lager / Speicher,خ-ز-ن,1282,muḫazzan,,,
قَائِمٌ,bestehend / aufrecht,ق-و-م,1283,qāʾim,,,
مُتَّحِدٌ,vereint,و-ح-د,1284,muttaḥid,,,
مُنْفَرِدٌ,einzeln / allein,ف-ر-د,1285,munfarid,,,
سَابِقٌ,früher / vorherig,س-ب-ق,1286,sābiq,,,
تَالٍ,folgend,ت-ل-و,1287,tālin,,,
مُقْبِلٌ,kommend,ق-ب-ل,1288,muqbil,,,
قَادِمٌ,kommend / bevorstehend,ق-د-م,1289,qādim,,,
غَائِبٌ,abwesend,غ-ي-ب,1290,ġāʾib,,,
مُعْتَادٌ,gewohnt,ع-و-د,1291,muʿtād,,,
عَادِيٌّ,gewöhnlich,ع-و-د,1292,ʿādī,,,
ثَانَوِيٌّ,sekundär,ث-ن-ي,1293,ṯānawī,,,
جَامِعِيٌّ,universitär,ج-م-ع,1294,ǧāmiʿī,,,
حُكُومِيٌّ,staatlich / Regierungs-,ح-ك-م,1295,ḥukūmī,,,
مَحَلِّيٌّ,örtlich / lokal,ح-ل-ل,1296,maḥallī,,,
